the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.83258323481 42.928118105278, -78.832587161425 42.928583511616))",5796,600061394,,,,,Unnamed Street,,12,A41,5,25,14214,14215,51.745149231671405
"MULTILINESTRING ((-78.813996177707 42.89693549828, -78.813993139498 42.896985480554))",1050,477790241,,,,,Bailey Avenue,62,01,A21,3,35,14212,14212,5.562517415740175
"MULTILINESTRING ((-78.88421016593 42.882170465464, -78.884406209909 42.882036491283, -78.884423162583 42.881996478882, -78.884412100585 42.881931487669, -78.88439412089 42.881906437979))",7623,477794355,2,180,1,179,Gull Landing,,12,A41,5,25,14202,14202,36.973485930853073
"MULTILINESTRING ((-78.856495086099 42.838913428103, -78.855682182433 42.837372474882))",11686,477802179,,,,,State Route 5,5,01,A15,2,65,14218,14203,183.78279598432377
"MULTILINESTRING ((-78.865698210731 42.865017442325, -78.864736131778 42.864850446987))",9668,477798721,26,48,23,49,South Street,,12,A31,4,35,14204,14204,80.846323973366935
"MULTILINESTRING ((-78.867627155748 42.885085489488, -78.867543196083 42.88502143225, -78.866540137147 42.884844495886))",7292,477793560,,,,,William Street,354,01,A35,3,35,14204,14204,94.2287464638855
"MULTILINESTRING ((-78.799844147649 42.877722506582, -78.799853132889 42.877159470284))",817,477795714,,,,,Ramp,,06,A63,4,45,14206,14206,62.601306695623926
"MULTILINESTRING ((-78.827775105743 42.8705574959, -78.827931162076 42.870628442732, -78.828299095134 42.870760453149, -78.828540106833 42.870825492943))",11076,477797342,,,,,Bayard Street,,12,A41,5,25,14210,14210,69.474044169730647
"MULTILINESTRING ((-78.815696118848 42.921705473369, -78.813676097002 42.921720482629))",1456,477783639,2,198,1,199,Kirkpatrick Street,,12,A41,5,25,14215,14215,165.06263659590311
"MULTILINESTRING ((-78.860009106279 42.86565049832, -78.85999709302 42.86568944006))",10505,477798622,68,68,67,67,Hamburg Street,,12,A31,4,35,14210,14210,4.439684673721586
"MULTILINESTRING ((-78.896602125981 42.928688462035, -78.896591032461 42.928696727449, -78.896331297266 42.928973963523, -78.895558956388 42.929913289381, -78.895478117971 42.929995483969))",9441,477781530,,,,,Ramp,198,06,A63,2,45,14213,14213,172.01194945038398
